Occasion,Household,Week,Loyalty,Price,Feature,Display,Tide,Wisk,Era,Choice,Brand
100,147,35,0.0,4.86,0,0,0,1,0,0,2
100,147,35,0.0,5.45,0,0,0,0,1,0,3
100,147,35,0.09,4.67,0,1,0,0,0,0,4
101,154,1,0.05,5.08,1,1,1,0,0,1,1
101,154,1,0.95,4.33,0,0,0,1,0,0,2
101,154,1,0.0,6.55,0,0,0,0,1,0,3
101,154,1,0.0,4.98,0,0,0,0,0,0,4
102,154,4,0.05,4.67,0,1,1,0,0,0,1
102,154,4,0.95,4.67,0,0,0,1,0,1,2
102,154,4,0.0,5.28,0,0,0,0,1,0,3
102,154,4,0.0,4.98,0,0,0,0,0,0,4
103,154,7,0.05,4.67,0,0,1,0,0,0,1
103,154,7,0.95,4.67,0,0,0,1,0,0,2
103,154,7,0.0,5.28,0,0,0,0,1,0,3
103,154,7,0.0,4.42,0,0,0,0,0,1,4
104,154,11,0.05,4.67,0,0,1,0,0,0,1
104,154,11,0.95,4.98,0,0,0,1,0,1,2
104,154,11,0.0,5.38,0,0,0,0,1,0,3
104,154,11,0.0,4.98,0,0,0,0,0,0,4
105,154,17,0.05,5.38,0,0,1,0,0,0,1
105,154,17,0.95,4.98,0,0,0,1,0,0,2
105,154,17,0.0,6.55,0,0,0,0,1,0,3
105,154,17,0.0,4.98,0,0,0,0,0,1,4
106,154,21,0.05,4.67,0,0,1,0,0,0,1
106,154,21,0.95,4.98,0,0,0,1,0,1,2
106,154,21,0.0,6.55,0,0,0,0,1,0,3
106,154,21,0.0,4.98,0,0,0,0,0,0,4
107,154,39,0.05,6.55,0,0,1,0,0,0,1
107,154,39,0.95,4.98,0,0,0,1,0,1,2
107,154,39,0.0,4.67,1,0,0,0,1,0,3
107,154,39,0.0,4.67,0,0,0,0,0,0,4
108,154,40,0.05,6.55,0,0,1,0,0,0,1
108,154,40,0.95,4.67,0,0,0,1,0,1,2
108,154,40,0.0,4.67,0,0,0,0,1,0,3
108,154,40,0.0,4.67,0,0,0,0,0,0,4
109,154,42,0.05,6.55,0,0,1,0,0,0,1
109,154,42,0.95,3.81,0,1,0,1,0,1,2
109,154,42,0.0,5.45,0,0,0,0,1,0,3
109,154,42,0.0,4.67,0,0,0,0,0,0,4
110,154,47,0.05,7.02,0,0,1,0,0,0,1
110,154,47,0.95,3.88,1,0,0,1,0,1,2
110,154,47,0.0,7.02,0,0,0,0,1,0,3
110,154,47,0.0,5.45,0,0,0,0,0,0,4
111,154,49,0.05,7.02,0,0,1,0,0,0,1
111,154,49,0.95,4.67,0,0,0,1,0,1,2
111,154,49,0.0,7.02,0,0,0,0,1,0,3
111,154,49,0.0,5.45,0,0,0,0,0,0,4
112,154,50,0.05,7.02,0,0,1,0,0,0,1
112,154,50,0.95,4.67,0,0,0,1,0,1,2
112,154,50,0.0,7.02,0,0,0,0,1,0,3
112,154,50,0.0,5.45,0,0,0,0,0,0,4
113,156,1,0.0,5.08,1,1,1,0,0,1,1
113,156,1,0.5,4.33,0,0,0,1,0,0,2
113,156,1,0.33,6.55,0,0,0,0,1,0,3
113,156,1,0.17,4.89,0,0,0,0,0,0,4
114,156,2,0.0,6.45,0,0,1,0,0,0,1
114,156,2,0.5,3.89,0,1,0,1,0,1,2
114,156,2,0.33,6.45,0,0,0,0,1,0,3
114,156,2,0.17,4.89,0,0,0,0,0,0,4
115,156,4,0.0,4.67,1,1,1,0,0,1,1
115,156,4,0.5,4.77,0,1,0,1,0,0,2
115,156,4,0.33,5.06,0,0,0,0,1,0,3
115,156,4,0.17,4.77,0,0,0,0,0,0,4
116,156,10,0.0,6.45,0,0,1,0,0,0,1
116,156,10,0.5,4.2,1,0,0,1,0,1,2
116,156,10,0.33,5.28,0,0,0,0,1,0,3
116,156,10,0.17,4.89,0,0,0,0,0,0,4
117,156,28,0.0,6.45,0,0,1,0,0,0,1
117,156,28,0.5,4.67,1,1,0,1,0,1,2
117,156,28,0.33,6.45,0,0,0,0,1,0,3
117,156,28,0.17,4.89,0,0,0,0,0,0,4
118,156,40,0.0,6.45,0,0,1,0,0,0,1
118,156,40,0.5,4.52,0,0,0,1,0,1,2
118,156,40,0.33,5.45,0,0,0,0,1,0,3
118,156,40,0.17,4.67,0,0,0,0,0,0,4
119,157,3,0.0,5.28,0,1,1,0,0,0,1
119,157,3,0.83,4.22,0,0,0,1,0,1,2
119,157,3,0.17,6.45,0,0,0,0,1,0,3
119,157,3,0.0,4.89,0,0,0,0,0,0,4
120,157,7,0.0,5.08,0,0,1,0,0,0,1
120,157,7,0.83,4.67,0,0,0,1,0,1,2
120,157,7,0.17,5.28,0,0,0,0,1,0,3
120,157,7,0.0,4.98,0,0,0,0,0,0,4
121,157,26,0.0,6.45,0,0,1,0,0,0,1
121,157,26,0.83,4.89,0,0,0,1,0,1,2
121,157,26,0.17,6.45,0,0,0,0,1,0,3
121,157,26,0.0,4.89,0,0,0,0,0,0,4
122,157,32,0.0,5.38,0,0,1,0,0,0,1
122,157,32,0.83,4.98,0,0,0,1,0,1,2
122,157,32,0.17,5.45,0,0,0,0,1,0,3
122,157,32,0.0,6.55,0,0,0,0,0,0,4
123,160,3,1.0,4.67,0,1,1,0,0,1,1
123,160,3,0.0,4.67,0,0,0,1,0,0,2
123,160,3,0.0,5.28,0,0,0,0,1,0,3
