Occasion,Household,Week,Loyalty,Price,Feature,Display,Tide,Wisk,Era,Choice,TotalHouseholds,TotalOccasions,OverallAvgPrice,PctFeature,PctDisplay
51,42,6,0.0,5.39,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
51,42,6,0.73,5.02,0,1,0,0,0,1,52,348,5.40455459770115,6.25,9.770114942528735
52,42,8,0.0,5.28,0,0,1,0,0,1,52,348,5.40455459770115,6.25,9.770114942528735
52,42,8,0.27,4.36,0,1,0,1,0,0,52,348,5.40455459770115,6.25,9.770114942528735
52,42,8,0.0,5.28,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
52,42,8,0.73,4.89,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
53,42,10,0.0,5.39,0,1,1,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
53,42,10,0.27,5.03,0,0,0,1,0,0,52,348,5.40455459770115,6.25,9.770114942528735
53,42,10,0.0,5.39,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
53,42,10,0.73,5.02,0,1,0,0,0,1,52,348,5.40455459770115,6.25,9.770114942528735
54,42,11,0.0,5.39,0,1,1,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
54,42,11,0.27,5.03,0,0,0,1,0,0,52,348,5.40455459770115,6.25,9.770114942528735
54,42,11,0.0,5.39,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
54,42,11,0.73,5.02,0,0,0,0,0,1,52,348,5.40455459770115,6.25,9.770114942528735
55,42,36,0.0,5.39,0,0,1,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
55,42,36,0.27,5.03,0,0,0,1,0,0,52,348,5.40455459770115,6.25,9.770114942528735
55,42,36,0.0,3.78,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
55,42,36,0.73,3.88,0,0,0,0,0,1,52,348,5.40455459770115,6.25,9.770114942528735
56,42,42,0.0,6.56,0,0,1,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
56,42,42,0.27,4.22,0,1,0,1,0,0,52,348,5.40455459770115,6.25,9.770114942528735
56,42,42,0.0,4.75,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
56,42,42,0.73,3.88,0,0,0,0,0,1,52,348,5.40455459770115,6.25,9.770114942528735
57,42,50,0.0,6.95,0,0,1,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
57,42,50,0.27,3.58,0,0,0,1,0,1,52,348,5.40455459770115,6.25,9.770114942528735
57,42,50,0.0,6.95,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
57,42,50,0.73,5.39,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
58,43,3,0.33,5.28,0,1,1,0,0,1,52,348,5.40455459770115,6.25,9.770114942528735
58,43,3,0.33,4.22,0,0,0,1,0,0,52,348,5.40455459770115,6.25,9.770114942528735
58,43,3,0.0,6.45,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
58,43,3,0.33,4.89,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
59,43,4,0.33,5.28,0,1,1,0,0,1,52,348,5.40455459770115,6.25,9.770114942528735
